timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-11-04,1.00006907,1.00017771,0.99999670,1.00009239,1.00006907,1.00017771,0.99999670,1.00009239,28614725.12787285,28617368.86014591
2017-11-03,1.00004898,1.00015289,1.00001107,1.00006883,1.00004898,1.00015289,1.00001107,1.00006883,26729570.23838192,26731410.09673742
2017-11-02,1.00019314,1.00057550,1.00003667,1.00004923,1.00019314,1.00057550,1.00003667,1.00004923,19981083.28069267,19982066.92107535
2017-11-01,0.99995863,1.00066638,0.99963331,1.00036469,0.99995863,1.00066638,0.99963331,1.00036469,17623411.26539899,17629838.31167836
2017-10-31,1.00000944,1.00090638,0.99954218,0.99980339,1.00000944,1.00090638,0.99954218,0.99980339,7243761.40889963,7242337.24554708
2017-10-30,0.99999454,1.00002075,0.99988100,0.99999966,0.99999454,1.00002075,0.99988100,0.99999966,12515467.74051003,12515463.44796407
2017-10-29,1.00029107,1.00077001,0.99998715,0.99999757,1.00029107,1.00077001,0.99998715,0.99999757,33112062.03091320,33111981.71355464
2017-10-28,1.00038677,1.00073192,1.00011991,1.00020493,1.00038677,1.00073192,1.00011991,1.00020493,11780946.73392458,11783361.05051590
2017-10-27,1.00015980,1.00041536,1.00003004,1.00029026,1.00015980,1.00041536,1.00003004,1.00029026,14555956.74014206,14560181.74890420
2017-10-26,1.00036153,1.00122497,1.00005278,1.00015084,1.00036153,1.00122497,1.00005278,1.00015084,10897622.18094653,10899265.94884479
2017-10-25,1.00030490,1.00099443,1.00014464,1.00025414,1.00030490,1.00099443,1.00014464,1.00025414,14918501.39631772,14922292.84817214
2017-10-24,1.00012282,1.00057578,1.00000934,1.00034963,1.00012282,1.00057578,1.00000934,1.00034963,19140133.79935355,19146825.74430537
2017-10-23,1.00000000,1.00039738,1.00000000,1.00012448,1.00000000,1.00039738,1.00000000,1.00012448,21721202.73945051,21723906.57085226
2017-10-22,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,16390300.56035561,16390300.54353728
2017-10-21,0.99998583,1.00003175,0.99901842,1.00000000,0.99998583,1.00003175,0.99901842,1.00000000,13340731.00946912,13340731.00946912
2017-10-20,0.99999525,1.00024770,0.99983924,1.00000003,0.99999525,1.00024770,0.99983924,1.00000003,21608296.03794420,21608296.59003382
2017-10-19,1.00009149,1.00015223,0.99994690,0.99995264,1.00009149,1.00015223,0.99994690,0.99995264,11950492.11497572,11949926.19483645
2017-10-18,1.00003029,1.00084058,1.00000195,1.00009154,1.00003029,1.00084058,1.00000195,1.00009154,14965006.73878027,14966376.62722550
2017-10-17,0.99945063,1.00029146,0.99945063,0.99998986,0.99945063,1.00029146,0.99945063,0.99998986,18002470.29511073,18002287.80340304
